i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
274 1.10279 0 1.9584 0.0131 0.0006 0.542 1.2346 0.0707 0.022 0.0113
275 1.12633 0 1.9537 0.0126 0.0002 0.5412 1.2353 0.0694 0.0205 0.0114
276 1.13529 0 2.0375 0.0128 0.0004 0.5439 1.3236 0.0638 0.0196 0.0113
277 1.1392 0 1.9715 0.0152 0.0008 0.5527 1.233 0.0722 0.0212 0.0115
278 1.14255 0 1.9633 0.0142 0.0004 0.5427 1.2344 0.0748 0.0218 0.0113
279 1.14961 0 1.975 0.0167 0.0008 0.563 1.2298 0.0683 0.0213 0.0113
280 1.17121 0 1.9722 0.0126 0.0005 0.5435 1.2406 0.0748 0.0224 0.0113
281 1.15853 0 2.0054 0.0194 0.0009 0.5586 1.2411 0.0809 0.0214 0.0113
282 1.12057 0 1.9809 0.0126 0.0006 0.5454 1.2517 0.0687 0.0202 0.0145
283 1.14294 0 2.301 0.0127 0.0009 0.542 1.5652 0.077 0.0249 0.0113
284 1.18344 0 3.1552 0.026 0.0009 0.965 1.9449 0.0795 0.025 0.0184
285 1.13409 0 1.9819 0.0137 0.0007 0.5713 1.2204 0.0754 0.022 0.0114
