i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
186 1.16569 0 0.822272 0.047104 0.03584 0.037888 0.038912 0.03584 0.033792 0.032768
187 1.15161 0 0.78336 0.047104 0.03584 0.038912 0.037888 0.036864 0.032768 0.032768
188 1.12764 0 0.805888 0.04608 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
189 1.12163 0 0.77312 0.047104 0.03584 0.036864 0.038912 0.036864 0.032768 0.032768
190 1.14268 0 0.786432 0.04608 0.03584 0.037888 0.039936 0.03584 0.032768 0.032768
191 1.17163 0 0.786432 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.032768
192 1.09188 0 0.772096 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
193 1.1462 0 0.80384 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
194 1.18521 0 0.832512 0.04608 0.031744 0.038912 0.039936 0.036864 0.032768 0.033792
195 1.07572 0 0.786432 0.04608 0.03584 0.037888 0.039936 0.036864 0.032768 0.032768
196 1.14165 0 0.802816 0.047104 0.03584 0.037888 0.041984 0.036864 0.032768 0.033792
197 1.14475 0 0.784384 0.04608 0.03584 0.036864 0.038912 0.036864 0.032768 0.033792
198 1.17506 0 0.760832 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.032768
199 1.13174 0 0.804864 0.047104 0.033792 0.038912 0.039936 0.036864 0.032768 0.032768
200 1.17094 0 0.785408 0.04608 0.03584 0.037888 0.038912 0.036864 0.031744 0.031744
201 1.14298 0 0.78336 0.047104 0.037888 0.037888 0.038912 0.036864 0.032768 0.032768
202 1.14461 0 0.80896 0.047104 0.03584 0.044032 0.038912 0.036864 0.032768 0.032768
203 1.12979 0 0.799744 0.04608 0.034816 0.037888 0.038912 0.036864 0.031744 0.032768
204 1.18655 0 0.790528 0.04608 0.034816 0.037888 0.038912 0.036864 0.031744 0.032768
205 1.13051 0 0.78336 0.045056 0.03584 0.037888 0.038912 0.03584 0.031744 0.033792
206 1.10662 0 0.777216 0.047104 0.03584 0.038912 0.038912 0.036864 0.032768 0.032768
207 1.14665 0 0.82944 0.04608 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
208 1.14785 0 0.825344 0.04608 0.03584 0.038912 0.039936 0.036864 0.032768 0.031744
209 1.08433 0 0.796672 0.047104 0.03584 0.036864 0.038912 0.03584 0.032768 0.032768
210 1.14252 0 0.77824 0.047104 0.03584 0.038912 0.039936 0.036864 0.031744 0.032768
211 1.16543 0 0.782336 0.047104 0.03584 0.037888 0.038912 0.036864 0.031744 0.032768
212 1.12661 0 0.768 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
213 1.15572 0 0.772096 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
214 1.10753 0 0.769024 0.047104 0.03584 0.038912 0.038912 0.036864 0.031744 0.032768
