i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
165 1.14288 0 4.8917 0.007264 0.006144 0.006144 0.007168 0.006144 0.006016 0.004096
166 1.09247 0 5.0953 0.008192 0.00608 0.006144 0.00528 0.004864 0.006144 0.004096
167 1.16849 0 5.2482 0.008352 0.005344 0.006144 0.006144 0.006144 0.006112 0.004096
168 1.15334 0 4.7514 0.008192 0.006048 0.006144 0.006144 0.006144 0.00688 0.004096
169 1.16977 0 5.1822 0.008192 0.006144 0.00592 0.005376 0.006144 0.006144 0.004096
170 1.14916 0 5.1486 0.009216 0.006144 0.006304 0.006144 0.00512 0.006112 0.004096
171 1.15055 0 5.3098 0.009216 0.006144 0.006144 0.006176 0.006144 0.006112 0.005984
172 1.14499 0 4.8207 0.008192 0.006144 0.00528 0.006144 0.00528 0.006048 0.004096
173 1.08457 0 5.8942 0.008288 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
174 1.13038 0 4.6497 0.007936 0.006176 0.006112 0.006144 0.00512 0.006112 0.004096
175 1.20253 0 5.2199 0.007168 0.006144 0.00512 0.006144 0.006144 0.006144 0.004096
176 1.11627 0 4.5981 0.008192 0.006048 0.006144 0.00608 0.006144 0.006048 0.004096
177 1.13131 0 4.9156 0.008128 0.006016 0.006016 0.006144 0.006144 0.006144 0.004128
178 1.05956 0 4.6701 0.006144 0.006048 0.006144 0.006144 0.006144 0.006144 0.004096
179 1.13858 0 5.1031 0.009056 0.00608 0.005216 0.006144 0.00512 0.00608 0.004096
180 1.11426 0 5.5517 0.008192 0.006144 0.006144 0.00608 0.00528 0.006176 0.004128
181 1.1015 0 5.1161 0.008192 0.006144 0.00512 0.006208 0.006144 0.006144 0.004096
182 1.18233 0 4.7671 0.009184 0.006144 0.00592 0.006144 0.005216 0.006144 0.004928
183 1.16607 0 5.2004 0.007168 0.007168 0.005248 0.006144 0.00512 0.006144 0.004096
184 1.14539 0 4.7385 0.008192 0.006144 0.006048 0.006144 0.006144 0.006144 0.004096
185 1.11145 0 5.1844 0.00832 0.00512 0.006144 0.007008 0.00512 0.006144 0.004096
186 1.1532 0 4.8404 0.009216 0.006112 0.005952 0.006144 0.005184 0.006144 0.004096
187 1.13858 0 5.0995 0.007168 0.00512 0.006144 0.005376 0.00512 0.006976 0.004096
188 1.12761 0 4.7585 0.008192 0.006144 0.00608 0.007168 0.006144 0.00608 0.004096
189 1.18194 0 5.2463 0.008192 0.005056 0.00592 0.006144 0.006144 0.00512 0.004096
190 1.14474 0 4.7699 0.009216 0.006112 0.006144 0.006144 0.00512 0.005216 0.004064
191 1.09711 0 5.7542 0.007168 0.006304 0.005344 0.006144 0.006144 0.006144 0.00512
192 1.19465 0 5.1947 0.007168 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
193 1.14741 0 5.1736 0.008192 0.006144 0.00528 0.006144 0.00512 0.006208 0.004096
194 1.13299 0 4.7817 0.008192 0.00608 0.006144 0.006112 0.005248 0.006144 0.004096
195 1.219 0 5.1115 0.008192 0.00608 0.006144 0.006112 0.006144 0.006144 0.006144
196 1.13042 0 4.4965 0.008192 0.006144 0.005152 0.006144 0.006144 0.006176 0.005024
197 1.14683 0 4.9621 0.007168 0.00528 0.00512 0.006144 0.006144 0.006144 0.00496
198 1.14529 0 4.5286 0.008192 0.006144 0.006144 0.005376 0.006144 0.006144 0.004096
199 1.12694 0 5.7865 0.008192 0.006208 0.007168 0.00512 0.006144 0.005184 0.004096
200 1.11111 0 5.458 0.00832 0.00704 0.005184 0.006144 0.006144 0.006144 0.00512
201 1.15686 0 4.919 0.008384 0.006144 0.00608 0.006144 0.006144 0.00704 0.004096
202 1.14437 0 4.8198 0.008192 0.006144 0.005408 0.00528 0.006144 0.006144 0.004896
203 1.16993 0 4.6788 0.008192 0.006144 0.006144 0.006144 0.005152 0.006144 0.004096
204 1.16765 0 4.5317 0.008256 0.005344 0.006144 0.006144 0.00512 0.005344 0.004096
205 1.07604 0 4.6148 0.00816 0.00608 0.006144 0.005376 0.005376 0.006144 0.004928
206 1.14972 0 4.7581 0.008192 0.006144 0.006144 0.005248 0.006144 0.006144 0.004096
207 1.15431 0 5.2621 0.009024 0.00512 0.006144 0.006144 0.00512 0.00512 0.004256
208 1.14412 0 4.8622 0.007168 0.006144 0.00512 0.006144 0.005344 0.006112 0.00432
209 1.14747 0 4.7853 0.008192 0.006144 0.006144 0.006144 0.005344 0.006112 0.004096
210 1.14999 0 4.56 0.007168 0.006144 0.005888 0.006144 0.006144 0.006144 0.004864
211 1.19882 0 4.8701 0.00832 0.006144 0.006144 0.006144 0.006144 0.006144 0.004192
212 1.11402 0 5.0374 0.008096 0.00608 0.005152 0.006112 0.006144 0.006112 0.004992
213 1.09505 0 4.7301 0.007168 0.006144 0.005344 0.006144 0.00512 0.006144 0.004096
214 1.14795 0 4.7782 0.00704 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
215 1.12588 0 4.7387 0.007168 0.006144 0.006144 0.006144 0.006144 0.006048 0.004352
216 1.12312 0 4.636 0.007104 0.006112 0.00528 0.006048 0.006144 0.006144 0.004096
217 1.09619 0 4.6927 0.008192 0.006144 0.005216 0.006144 0.006144 0.005248 0.004096
218 1.11825 0 4.6196 0.008192 0.006144 0.006144 0.006144 0.00512 0.00608 0.005216
